DATE,EXJPUS
1/01/2017,114.8721
1/02/2017,112.9116
1/03/2017,112.9165
1/04/2017,110.091
1/05/2017,112.2436
1/06/2017,110.9141
1/07/2017,112.417
1/08/2017,109.827
1/09/2017,110.776
1/10/2017,112.9148
1/11/2017,112.819
1/12/2017,112.9405
1/01/2018,110.871
1/02/2018,107.97
1/03/2018,106.0468
1/04/2018,107.6562
1/05/2018,109.6882
1/06/2018,110.0638
1/07/2018,111.521
1/08/2018,110.9965
1/09/2018,112.0974
1/10/2018,112.7218
