DATE,GBRCPIALLMINMEI
1975-06-01,16.5572120592204
1975-07-01,16.7262864347339
1975-08-01,16.8229003635988
1975-09-01,16.9678212568961
1975-10-01,17.2093560790584
1975-11-01,17.4146606778962
1975-12-01,17.6320420178422
1976-01-01,17.8615000988964
1976-02-01,18.0909581799505
1976-03-01,18.1875721088154
1976-04-01,18.5377976009506
1976-05-01,18.7431021997885
1976-06-01,18.8397161286534
1976-07-01,18.8759463519777
1976-08-01,19.1416346563561
1976-09-01,19.3952462196265
1976-10-01,19.7454717117617
1976-11-01,20.0232367572482
1976-12-01,20.2889250616267
1977-01-01,20.8203016703836
1977-02-01,21.0256062692215
1977-03-01,21.2309108680594
1977-04-01,21.7743642179244
1977-05-01,21.9434385934379
1977-06-01,22.172896674492
1977-07-01,22.1970501567082
1977-08-01,22.3057408266812
